penetration,installed_ev,installed_pv,violation,reason,location,value,search_step,mc_run
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.80963003375868,3,54
0.0625,0.044,0,False,,,,4,54
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.98519003390965,5,54
0.078125,0.044,0,False,,,,6,54
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.90007242462346,0,55
0.5,0.3080000000000001,0,True,Line Overloading,36.0,124.51173421632795,1,55
0.25,0.154,0,True,Transformer Overloading,0.0,129.23595215572527,2,55
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.54341113517386,3,55
0.0625,0.044,0,False,,,,4,55
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.70940101236855,5,55
0.078125,0.044,0,False,,,,6,55
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.90003444667082,0,56
0.5,0.3080000000000001,0,True,Transformer Overloading,0.0,171.23949535257717,1,56
0.25,0.154,0,True,Transformer Overloading,0.0,129.1773016897651,2,56
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.48723716032949,3,56
0.0625,0.044,0,False,,,,4,56
